city,Temperature (°C),Humidity (%),Weather Condition
Sādāt,21.0,68,clear sky
Milak,18.87,16,clear sky
Kulgam,5.94,53,clear sky
Kotdwāra,19.21,22,clear sky
Iāwar,23.06,23,clear sky
Idukki,19.68,92,clear sky
Hungund,30.17,23,clear sky
Hāora,22.0,83,haze
Gundlupēt,23.34,65,clear sky
Gola Gokarannāth,19.49,13,clear sky
Dam Dam,21.98,83,haze
Dores,23.91,86,clear sky
Dinapore,21.98,64,haze
Bhanjanagar,22.41,90,clear sky
Baripāda,22.31,77,broken clouds
Byndoor,26.57,73,clear sky
Anantapur,28.68,44,clear sky
Amreli,26.49,32,clear sky
Srīvardhan,25.08,64,clear sky
Ron,27.54,28,clear sky
Rehra Bāzār,21.31,18,clear sky
Rāmtek,25.96,23,scattered clouds
Mizoram,18.66,74,broken clouds
Mannargudi,25.81,84,scattered clouds
Kheda,24.8,23,clear sky
Khair,21.35,17,overcast clouds
Jonāpura,22.18,20,clear sky
Jatwāra,20.4,19,clear sky
Gulābpura,23.01,22,few clouds
Ghogha,26.93,45,clear sky
Dwārka,24.9,78,clear sky
Deshnoke,22.08,19,clear sky
Colgong,22.05,70,overcast clouds
Bilgrām,21.69,14,clear sky
Bhinga,19.98,18,clear sky
Bhadrāchalam,25.3,72,clear sky
Anūppur,19.78,68,clear sky
Anjangaon,26.64,18,clear sky
Gajuwaka,27.07,83,mist
Parlākimidi,23.58,90,overcast clouds
Malpe,25.89,73,clear sky
Luckeesarai,21.24,71,broken clouds
Koregaon,24.24,36,few clouds
Kuchinda,24.79,53,broken clouds
Khaur,18.65,37,clear sky
Dostpur,21.12,20,clear sky
Dhandhuka,28.22,19,clear sky
Dhanaura,18.54,18,clear sky
Dabhoi,25.78,25,clear sky
Bodhan,27.26,47,clear sky
Agar,23.83,21,clear sky
Harindānga,22.78,64,clear sky
Barbil,20.6,90,overcast clouds
Manuguru,25.86,68,clear sky
Walajapet,24.45,86,clear sky
Vite,25.95,28,broken clouds
Suriāpet,24.78,76,clear sky
Sendhwa,25.53,25,clear sky
Rahimatpur,24.08,32,overcast clouds
Prāgpura,20.83,17,clear sky
Parāsia,22.66,17,clear sky
Namchi,15.62,70,overcast clouds
Kālkāji Devi,20.05,60,haze
Kālānwāli,17.46,22,clear sky
Gyānpur,21.5,60,clear sky
Gola Bāzār,20.68,57,clear sky
Dārwha,26.45,21,clear sky
Beri Khās,19.61,20,clear sky
Bellūru,24.55,56,clear sky
Ayakudi,24.79,80,clear sky
Arumuganeri,27.91,77,overcast clouds
Akaltara,22.32,57,clear sky
Silapathar,19.48,78,overcast clouds
Pavuluru,25.43,80,clear sky
Tāoru,20.68,18,clear sky
Simauri,21.31,16,clear sky
Shāhpur,17.8,19,clear sky
Sāmalkot,22.58,87,clear sky
Sabzi Mandi,20.06,60,haze
Rehli,23.71,21,clear sky
Raigarh Fort,21.43,53,clear sky
Kota,20.87,77,scattered clouds
Kālīnagar,17.07,18,clear sky
Digapahandi,23.15,56,broken clouds
Chābua,16.97,100,mist
Bokāro,20.65,82,light rain
Ahmedabad,27.02,29,smoke
Vengurla,26.13,60,clear sky
Todaraisingh,23.99,19,clear sky
Soygaon,25.71,22,clear sky
Sāyla,27.13,19,clear sky
Pāpireddippatti,23.1,85,clear sky
Nawābganj,22.01,18,clear sky
Mahālingpur,25.56,32,clear sky
Krishnanagar,20.84,79,overcast clouds
Korampallam,27.68,77,overcast clouds
Kodungallūr,26.0,89,broken clouds
Haliyal,23.81,44,clear sky
Ghāziābād,22.11,17,clear sky
Gandevi,24.35,74,clear sky
Daltonganj,21.72,80,overcast clouds
Baud,26.42,50,overcast clouds
Bariārpur,21.86,71,overcast clouds
Ajaigarh,24.22,18,clear sky
Tirumullaivāsal,27.0,79,clear sky
Tāttayyangārpettai,25.63,79,clear sky
Pharihā,22.85,14,broken clouds
Pāsighāt,20.83,57,overcast clouds
Nīmrāna,21.41,17,clear sky
Mungaoli,23.51,20,clear sky
Malīhābād,19.95,17,clear sky
Kānnangād,25.52,81,clear sky
Jagnair,22.61,16,scattered clouds
Honnāli,24.65,62,scattered clouds
Harihar,25.52,55,scattered clouds
Gadwāl,27.28,57,scattered clouds
Fāzilka,18.96,20,clear sky
Fatehganj West,19.21,16,clear sky
Chikodi,24.24,34,clear sky
Chiknāyakanhalli,25.63,57,scattered clouds
Chakia,22.64,66,scattered clouds
Bodri,20.48,62,clear sky
Bhattiprolu,24.42,92,clear sky
Bhainsdehi,22.27,20,clear sky
Belaguntha,22.62,92,clear sky
Bāri,22.49,17,scattered clouds
Bantvāl,27.53,78,few clouds
Ārangaon,27.0,24,clear sky
Chīma,16.81,26,clear sky
Vuyyūru,23.66,85,clear sky
Un,25.68,28,clear sky
Sivaganga,27.26,76,clear sky
Rahā,21.27,69,overcast clouds
Pūnāhāna,22.13,16,scattered clouds
Pathānkot,16.95,38,clear sky
Nawāda,21.72,72,broken clouds
Lāharpur,20.81,13,clear sky
Kāyankulam,26.63,82,scattered clouds
Gohāna,18.88,19,clear sky
Daulatpur,16.63,35,clear sky
Chaklāsi,25.24,23,clear sky
Bharūch,26.43,40,clear sky
Alipur,27.02,83,mist
Sindhnūr,28.38,37,clear sky
Pīlibhīt,17.56,19,clear sky
Pihānī,20.72,13,clear sky
Payyannūr,25.38,81,clear sky
Murlīganj,19.51,83,overcast clouds
Mataundh,24.29,18,clear sky
Mahāban,21.43,16,overcast clouds
Kalanaur,15.63,37,clear sky
Jetpur,25.37,39,clear sky
Hāngal,23.78,59,few clouds
Ghātanji,27.56,24,broken clouds
Gandhinagar,26.99,29,smoke
Colovale,27.81,57,clear sky
Cochin,25.99,81,overcast clouds
Chakrāta,7.71,60,clear sky
Bar Bigha,21.04,74,broken clouds
Baloda Bāzār,24.31,49,few clouds
Adūr,24.84,92,clear sky
Vedaraniyam,28.03,77,few clouds
Vadlapūdi,24.99,84,clear sky
Sivagiri,26.16,84,few clouds
Penugonda,22.77,86,clear sky
Manoharpur,20.73,17,clear sky
Kondalwādi,27.15,44,clear sky
Khairāgarh,25.4,53,broken clouds
Hazāribāgh,17.95,92,overcast clouds
Ghiror,21.57,14,few clouds
Deoghar,20.02,84,light rain
Bhānpurī,23.77,66,scattered clouds
Bāndīkūi,22.18,17,scattered clouds
Aurangābād,22.08,73,scattered clouds
Allāpalli,26.59,64,broken clouds
Manappakkam,28.63,83,few clouds
Naharlagun,17.35,86,overcast clouds
Waltair,27.18,83,mist
Sausar,25.15,18,few clouds
Parshādepur,22.26,18,clear sky
Mattanur,23.97,90,clear sky
Kolagallu,29.51,37,scattered clouds
Khalīlābād,20.06,27,clear sky
Karārī,23.29,25,clear sky
Kaimganj,21.61,13,few clouds
Hosūr,22.99,79,clear sky
Harduāganj,20.94,17,overcast clouds
Halena,22.71,16,overcast clouds
Bhundsi,20.03,17,clear sky
Basmat,27.03,22,clear sky
Annavāsal,26.04,80,clear sky
Agartala,23.2,53,overcast clouds
Silvassa,23.63,65,clear sky
Sairang,20.97,62,overcast clouds
Robertsganj,19.98,75,broken clouds
Rānīpur,24.41,18,clear sky
Pendra,19.67,67,clear sky
Nārnaul,21.62,16,clear sky
Narāyangarh,19.28,22,clear sky
Mahē,26.33,80,clear sky
Kapūrthala,16.11,32,clear sky
Kāmthi,25.19,22,clear sky
Duggirāla,24.38,83,clear sky
Daund,25.48,34,clear sky
Challapalle,24.41,82,clear sky
Bhavnagar,26.58,40,clear sky
Bhavāni,27.95,78,clear sky
Bāsugaon,20.69,80,overcast clouds
Bahora Kalān,20.63,18,clear sky
Sītāpur,20.78,14,clear sky
Shujālpur,23.79,22,clear sky
Neyyāttinkara,28.92,85,clear sky
Mūndwa,23.43,17,clear sky
Morānha,23.11,43,overcast clouds
Kothi,23.15,24,clear sky
Karambakkudi,26.53,81,clear sky
Kanniyākumāri,28.06,74,overcast clouds
Jhunjhunūn,21.92,17,clear sky
Gangārāmpur,20.76,70,overcast clouds
Dhenkānāl,22.6,92,broken clouds
Dākor,24.59,24,clear sky
Barjala,23.61,48,overcast clouds
Bahua,23.02,18,clear sky
Bahādurganj,18.99,79,overcast clouds
Bāgha Purāna,15.91,27,clear sky
Sulya,22.83,95,clear sky
Sompeta,23.89,87,broken clouds
Singur,21.94,66,broken clouds
Sānkra,20.68,16,broken clouds
Mundargi,27.92,37,scattered clouds
Mandāwar,17.98,20,clear sky
Mahād,22.92,62,clear sky
Kottūru,25.88,52,few clouds
Khem Karan,16.49,26,clear sky
Kāman,22.53,16,overcast clouds
Dombivli,25.97,46,clear sky
Dhārūr,26.63,19,scattered clouds
Chik Ballāpur,22.9,66,clear sky
Bhongaon,21.83,14,clear sky
Bagh Bazar,21.96,83,haze
Akivīdu,23.61,83,clear sky
Palavantangai,28.53,83,few clouds
Tanjore,25.54,90,clear sky
Talwāra,18.52,41,clear sky
Srivilliputhur,27.0,77,scattered clouds
Sherkot,18.51,19,clear sky
Seohāra,18.52,19,clear sky
Satrikh,22.14,17,clear sky
Rājaldesar,22.87,17,clear sky
Phaphūnd,22.41,16,clear sky
Paliā Kalān,17.9,16,clear sky
Noāmundi,20.79,83,overcast clouds
Narasannapeta,23.97,87,broken clouds
Khunti,16.06,85,few clouds
Khuldābād,24.07,23,clear sky
Hunsūr,23.67,77,clear sky
Bhānvad,24.37,69,clear sky
Barghāt,25.21,18,broken clouds
Āmta,21.25,71,broken clouds
Villupuram,25.52,84,clear sky
Saraikela,21.72,79,overcast clouds
Rāzampeta,24.57,79,clear sky
Pantnagar,17.92,18,clear sky
Mohanūr,26.45,74,clear sky
Kurud,23.84,62,few clouds
Kotkhai,3.62,72,clear sky
Jīran,23.19,24,clear sky
Jahānābād,19.67,82,scattered clouds
Handiā,21.89,47,clear sky
Gurmatkāl,26.81,47,broken clouds
Dūgal Kota,21.52,17,clear sky
Gorakhpur,20.48,43,clear sky
Gaurela,19.96,64,clear sky
Deori,25.81,47,overcast clouds
Charthāwal,17.46,20,clear sky
Ballālpur,28.35,50,broken clouds
Anshing,25.77,22,clear sky
Madipakkam,28.55,82,few clouds
Nagaria Ahīrān,21.0,13,clear sky
Sathupalli,22.95,86,clear sky
Nashik Division,22.5,34,clear sky
Zunheboto,11.69,80,broken clouds
Warora,29.96,37,overcast clouds
Tirunelveli,27.54,75,overcast clouds
Suket,24.3,20,clear sky
Rāmnagar,14.6,41,clear sky
Pithorāgarh,6.26,35,clear sky
Mulgund,25.63,39,clear sky
Madhubani,20.1,87,few clouds
Kangayam,25.7,74,clear sky
Kairāna,17.73,19,clear sky
Kadayanallur,25.94,82,few clouds
Jalālī,21.05,16,overcast clouds
Ilampillai,26.19,71,clear sky
Hasanpur,19.61,17,clear sky
Hājan,6.75,40,clear sky
Dariba,21.45,23,clear sky
Cavelossim,27.99,63,clear sky
Udpura,24.32,20,clear sky
Tīrthahalli,19.82,88,clear sky
Tawang,2.87,93,overcast clouds
Tāsgaon,25.71,31,clear sky
Mālegaon,26.22,25,clear sky
Mahroni,22.71,19,clear sky
Kandukūr,25.81,81,clear sky
Jait,21.84,16,overcast clouds
Islāmnagar,19.95,16,clear sky
Gohpur,19.18,78,overcast clouds
Chopan,20.72,77,few clouds
Chengannūr,24.88,93,scattered clouds
Bilgi,27.38,28,clear sky
Bhandāra,27.02,44,few clouds
Belgaum,23.21,32,scattered clouds
Begūn,22.45,22,broken clouds
Ashti,26.26,22,few clouds
Palwancha,25.04,73,clear sky
Yamunānagar,17.59,26,clear sky
Vinchia,26.18,27,clear sky
Valparai,19.66,86,scattered clouds
Umreth,24.8,24,clear sky
Thirukattupalli,25.84,85,clear sky
Tarikere,22.89,76,clear sky
Sarwār,23.28,22,clear sky
Pallappatti,26.35,75,clear sky
Naldurg,28.03,22,clear sky
Mugma,21.0,82,overcast clouds
Mudkhed,28.73,21,broken clouds
Mailāni,18.56,15,clear sky
Mahrauli,19.86,60,haze
Maham,19.92,20,clear sky
Madukkūr,26.53,81,clear sky
Lālganj,22.36,17,clear sky
Kurāra,24.17,17,clear sky
Kodoli,23.5,33,clear sky
Kareli,24.03,24,clear sky
Cumbum,23.09,90,clear sky
Jaisingpur,24.85,33,clear sky
Gursarāi,24.15,17,clear sky
Ghātāl,20.67,79,broken clouds
Dharmadam,26.28,80,clear sky
Candolim,28.0,51,clear sky
Bīrpur,20.3,84,overcast clouds
Bellary,28.48,40,scattered clouds
Beliātor,20.57,79,overcast clouds
Akbarpur,22.27,18,clear sky
Akālgarh,16.75,24,clear sky
Lal Bahadur Nagar,24.66,64,broken clouds
Yārāda,27.18,83,mist
Tiruchirappalli,28.06,89,mist
Sarai Ekdil,22.2,16,clear sky
Ratanpur,22.01,58,clear sky
Pasān,19.32,72,clear sky
Pāchora,26.32,23,clear sky
Murbād,24.21,46,clear sky
Malaut,18.82,20,clear sky
Jhīnjhak,22.47,17,clear sky
Hatta,24.56,18,clear sky
Goshaingaon,20.45,80,overcast clouds
Gariadhar,25.74,46,clear sky
Dornakal,24.48,71,clear sky
Dhuliān,22.11,65,overcast clouds
Dādri,21.95,17,clear sky
Chhibrāmau,22.01,14,clear sky
Perungudi,28.52,82,few clouds
Vīsāvadar,25.77,36,clear sky
Udgīr,27.25,21,clear sky
Shertallai,27.54,77,overcast clouds
Sambhal,19.6,17,clear sky
Rānāghāt,20.98,77,overcast clouds
Periyanayakkanpalaiyam,25.38,71,clear sky
Peravurani,27.34,77,clear sky
Padra,26.46,21,clear sky
Nabīnagar,21.95,74,broken clouds
Madhyamgram,21.97,83,haze
Kora,23.13,17,clear sky
Kodlipet,20.31,86,few clouds
Jogindarnagar,12.53,40,broken clouds
Jhinjhāna,17.48,20,clear sky
Gondal,25.58,34,clear sky
Ghusuri,21.98,83,haze
Gangavalli,24.51,85,clear sky
National Capital Territory of Delhi,20.13,17,clear sky
Cortalim,27.42,51,clear sky
Churāchāndpur,12.74,90,overcast clouds
Bāwal,21.51,17,clear sky
Balrāmpur,20.85,17,clear sky
Adyār,28.48,81,few clouds
Vriddhāchalam,26.04,83,clear sky
Tohāna,16.96,23,clear sky
Thakurdwara,18.22,20,clear sky
Tekanpur,22.18,20,clear sky
Rājkot,26.5,36,clear sky
Rāiganj,20.9,74,overcast clouds
Panāgar,22.7,41,clear sky
Lohārdagā,18.79,82,overcast clouds
Kākori,19.97,49,haze
Indri,17.96,21,clear sky
Guskhara,20.35,81,overcast clouds
Gangāpur,25.91,22,clear sky
Dhupgāri,19.06,80,overcast clouds
Deoband,17.48,24,clear sky
Datia,23.32,18,clear sky
Burhar,19.89,69,clear sky
Bhikangaon,25.83,21,clear sky
Bargi,23.16,34,clear sky
Babugarh,19.09,19,clear sky
Aurād,28.16,32,clear sky
Secunderabad,25.12,62,clear sky
Sangod,24.61,20,clear sky
Sānand,27.12,20,clear sky
Mushābani,20.82,81,broken clouds
Mānsa,17.06,23,clear sky
Lakhnā,22.2,16,clear sky
Jorhāt,22.89,49,overcast clouds
Jamshedpur,22.31,74,overcast clouds
Dīg,22.44,16,overcast clouds
Davorlim,27.9,65,clear sky
Chillupār,20.21,67,clear sky
Bhūm,27.83,20,clear sky
Bhuj,24.55,52,clear sky
Bārsi,28.66,19,scattered clouds
Kalyandurg,28.6,40,few clouds
Tuensang,13.14,74,broken clouds
Tehri,13.72,46,clear sky
Sāruberā,20.19,82,broken clouds
Nyāmti,23.17,68,few clouds
Munirābād,28.53,38,broken clouds
Māngrol,24.75,68,clear sky
Kosigi,27.65,54,clear sky
Jintūr,26.36,22,clear sky
Jammu,16.46,37,clear sky
Jalakandapuram,27.25,67,clear sky
Hātā,19.52,67,clear sky
Gulāothi,19.58,19,clear sky
Ghazīpur,21.28,67,clear sky
Haripur,21.64,68,overcast clouds
Dumjor,21.97,62,scattered clouds
Jaigaon,20.13,62,overcast clouds
Upleta,24.84,57,clear sky
Tīra Sujānpur,15.46,38,few clouds
Sikandra Rao,21.68,15,broken clouds
Shīshgarh,18.5,17,clear sky
Phulpur,21.7,47,clear sky
Modāsa,26.19,21,clear sky
Meerut,20.26,16,clear sky
Mānwat,26.99,21,scattered clouds
Mandi,10.25,47,few clouds
Kunnattūr,23.76,80,clear sky
Khatīma,17.85,17,clear sky
Khandela,18.87,19,clear sky
Gangoh,17.63,21,clear sky
Fort Gloster,23.23,60,scattered clouds
Chāndbāli,23.5,89,clear sky
Chamba,12.22,44,clear sky
Arang,26.32,49,overcast clouds
Chhutmalpur,17.99,34,clear sky
Uppiliyapuram,25.13,83,clear sky
Ujjain,23.85,23,clear sky
Ropar,18.19,26,clear sky
Pāppinisshēri,25.28,83,clear sky
Pānīpat,17.7,19,clear sky
Maheshwar,26.72,19,clear sky
Lākheri,23.58,20,clear sky
Karchana,22.7,40,clear sky
Gorakhpur,19.11,19,clear sky
Dhemāji,21.65,50,overcast clouds
Chiplūn,22.27,57,clear sky
Byādgi,24.98,55,broken clouds
Būndu,19.04,84,scattered clouds
Bhongīr,23.8,70,clear sky
Belha,23.38,50,few clouds
Bānsdīh,20.03,78,few clouds
Bāgeshwar,13.09,34,clear sky
Anjār,25.15,42,clear sky
Raghudebbati,21.97,60,scattered clouds
Vrindāvan,21.6,17,overcast clouds
Sojītra,24.79,23,clear sky
Sangrūr,17.46,23,clear sky
Kasba,20.1,83,overcast clouds
Pawni,27.56,51,broken clouds
Pāppārappatti,21.01,76,clear sky
Pāndhurnā,25.12,17,scattered clouds
Moga,15.86,28,clear sky
Khānpur,24.4,20,clear sky
Kāgal,23.65,35,clear sky
Jaipur,22.62,33,haze
Itānagar,16.2,85,overcast clouds
Hindupur,25.99,53,clear sky
Gokak,26.01,31,clear sky
Fyzābād,21.89,18,clear sky
Chāmpāhāti,21.99,59,clear sky
Arrah,20.65,82,clear sky
Khordha,22.93,98,scattered clouds
Takhatgarh,24.47,20,clear sky
Suār,18.41,19,clear sky
Sathyamangalam,26.72,71,clear sky
Sāmba,17.25,39,clear sky
Rehti,24.89,19,clear sky
Perūr,25.45,71,clear sky
Mankāpur,21.53,18,clear sky
Māllūr,25.57,76,clear sky
Majholi,22.76,37,clear sky
Lotwāra,23.41,16,scattered clouds
Hilsa,20.08,81,clear sky
Devakottai,28.03,74,clear sky
Bokākhāt,19.49,74,overcast clouds
Bijrauni,23.77,19,clear sky
Bahādurgarh,20.06,19,clear sky
Amrāvati,26.49,19,clear sky
Gurdaha,23.11,59,broken clouds
Akkarampalle,20.73,89,clear sky
Tinnanūr,28.25,86,clear sky
Taloda,27.19,26,clear sky
Tādpatri,27.77,56,clear sky
Solan,10.88,38,clear sky
Srāvana Belgola,23.4,71,clear sky
Sāitlaw,17.35,58,overcast clouds
Pullambādi,26.09,88,clear sky
Nainpur,23.81,37,clear sky
Mahūli,20.38,24,clear sky
Lohogaon,23.54,37,clear sky
Kottapalli,26.32,59,broken clouds
Koppal,28.22,37,scattered clouds
Kharagpur,21.74,68,overcast clouds
Hāsimāra,20.09,64,overcast clouds
Dhatkidih,22.39,74,overcast clouds
Duliāgaon,21.84,50,overcast clouds
Dondaicha,27.77,24,clear sky
Daman,25.4,71,clear sky
Banda,23.26,19,clear sky
Alīpur,20.12,17,clear sky
Uttar Pradesh,21.23,16,clear sky
Proddatūr,27.2,63,clear sky
Mayiladuthurai,26.08,82,scattered clouds
Mālvan,26.43,64,clear sky
Koothanallur,25.99,83,scattered clouds
Khagaria,21.31,76,overcast clouds
Jagādhri,17.56,27,clear sky
Dispur,20.97,76,overcast clouds
Dāhānu,24.78,70,clear sky
Chicholi,25.92,42,scattered clouds
Chhota Udepur,24.66,25,clear sky
Chaupāl,6.05,67,clear sky
Chākia,19.32,84,clear sky
Bhānpura,25.15,22,clear sky
Arni,24.69,84,clear sky
Bhandārdaha,21.97,61,scattered clouds
Mandamarri,27.52,54,broken clouds
Yol,17.15,35,few clouds
Titābar,23.28,49,overcast clouds
Suchindram,27.05,76,overcast clouds
Sirmaur,22.08,47,clear sky
Panhāla,22.9,34,clear sky
Nawābganj,21.76,18,clear sky
Naihāti,21.94,68,overcast clouds
Leteri,23.18,20,clear sky
Kūmher,22.23,16,broken clouds
Kuchera,23.08,19,clear sky
Hyderābād,24.13,64,broken clouds
Farrukhnagar,20.42,19,clear sky
Dhāruhera,20.98,18,clear sky
Bhīlwāra,22.33,22,clear sky
Bhātpāra,21.95,68,broken clouds
Parwanoo,15.7,28,clear sky
Tālīkota,30.52,24,clear sky
Sherghāti,22.26,72,overcast clouds
Samālkha,18.28,19,clear sky
Sachīn,25.96,59,clear sky
Nāgar Karnūl,25.65,60,clear sky
Misrikh,20.76,15,clear sky
Leh,-18.96,72,clear sky
Kāti,29.0,18,few clouds
Jugsālai,22.27,74,overcast clouds
Jammalamadugu,27.2,62,clear sky
Iklehra,23.4,24,clear sky
Hāpur,19.0,19,clear sky
Gopālpur,24.7,88,broken clouds
Dugda,21.09,79,overcast clouds
Chetwayi,27.61,82,scattered clouds
Basi,19.35,21,clear sky
Antu,22.25,18,clear sky
Vijāpur,23.8,24,clear sky
Valavanur,25.91,83,clear sky
Talipparamba,24.26,87,clear sky
Sargūr,24.43,77,clear sky
Sandīla,21.7,16,clear sky
Sāhibganj,21.65,75,overcast clouds
Rengāli,23.84,56,overcast clouds
Nasrullāhganj,24.82,20,clear sky
Nagar,23.67,15,overcast clouds
Morjim,26.37,58,clear sky
Manāsa,23.41,21,clear sky
Mālpur,26.35,22,clear sky
Kosi,22.26,16,overcast clouds
Jalgaon Jamod,26.78,19,clear sky
Deūlgaon Rāja,24.53,23,clear sky
Dabra,22.61,19,clear sky
Chānasma,24.9,26,clear sky
Bijni,20.59,77,overcast clouds
Bihārīganj,19.85,79,overcast clouds
Balarāmpur,19.61,81,overcast clouds
Bachhrāwān,22.78,17,clear sky
Assam,20.23,79,overcast clouds
Vadigenhalli,23.12,73,few clouds
Sadalgi,24.54,34,clear sky
Nīmāj,22.99,20,clear sky
Musāfir-Khāna,22.19,18,clear sky
Mau,22.28,19,clear sky
Manipur,14.26,72,overcast clouds
Jalālābād,18.09,20,clear sky
Hempur,20.57,14,clear sky
Gudiyatham,23.6,86,clear sky
Dharampur,23.48,57,clear sky
Dehu,22.37,42,clear sky
Curti,27.66,64,clear sky
Banat,17.55,20,clear sky
Attingal,28.82,84,clear sky
Arsikere,24.35,68,clear sky
Agra,22.8,15,broken clouds
Sitārganj,17.41,19,clear sky
Siswā Bāzār,19.36,36,clear sky
Ranchi,16.06,94,thunderstorm with light rain
Raia,27.86,51,clear sky
Patti,16.19,30,clear sky
Padampur,27.41,40,overcast clouds
Kālāvad,25.01,56,clear sky
Dongargaon,23.35,70,scattered clouds
Dhāmnod,26.58,19,clear sky
Bhind,22.1,18,clear sky
Bahsūma,17.99,19,clear sky
Ālappākkam,27.83,77,clear sky
Afzalgarh,18.35,20,clear sky
Ratanada,24.82,19,clear sky
Vaikam,26.31,85,overcast clouds
Singarāyakonda,26.45,79,clear sky
Sānwer,23.2,24,clear sky
Parola,27.23,24,clear sky
Narasimharājapura,20.8,85,clear sky
Khedbrahma,25.12,22,clear sky
Kallakkurichchi,25.7,80,clear sky
Jawāharnāgar,20.06,60,haze
Hubli,25.47,37,clear sky
Ettaiyapuram,27.26,76,broken clouds
Borsad,25.49,21,clear sky
Bhandaria,21.66,16,clear sky
Bājna,21.79,17,overcast clouds
Bagalkot,27.83,26,clear sky
Anandnagar,19.65,20,clear sky
Aghāpur,22.52,15,overcast clouds
Achalpur,26.19,18,clear sky
Tilhar,20.44,13,clear sky
Sūratgarh,21.71,20,clear sky
Sinnar,21.34,35,clear sky
Risod,25.49,22,clear sky
Rājgīr,20.3,79,scattered clouds
Palladam,25.68,74,clear sky
Nirmal,26.19,56,clear sky
Murwāra,22.02,51,clear sky
Morwa,25.12,23,clear sky
Kulti,21.05,82,overcast clouds
Kharela,24.27,18,clear sky
Kalamnūri,26.46,22,clear sky
Howli,21.19,73,overcast clouds
Ghātsīla,21.5,81,broken clouds
Damoh,24.04,20,clear sky
Chharra,20.97,15,broken clouds
Buguda,22.7,91,clear sky
Bhamora,20.01,14,clear sky
Ambāla,18.53,22,clear sky
Alok Mishra,22.21,18,clear sky
Ziro,8.63,88,overcast clouds
Saharsa,20.06,79,overcast clouds
Rumbak,-22.38,80,scattered clouds
Rāyachoti,24.11,76,clear sky
Maksi,23.39,23,clear sky
Madhipura,19.79,81,overcast clouds
Lucknow,19.99,49,haze
Kondagaon,23.28,57,overcast clouds
Jaspur,18.15,20,clear sky
Jandiāla Gurū,17.96,30,clear sky
Jaitāran,23.05,20,clear sky
Guru Har Sahāi,17.19,20,clear sky
Gauripur,21.32,73,overcast clouds
Chhaprauli,18.13,19,clear sky
Chail,23.59,38,clear sky
Biswān,21.0,15,clear sky
Bidhūna,22.41,15,clear sky
Basna,25.24,53,overcast clouds
Tirukkoyilur,25.41,82,clear sky
Sītāmau,24.59,21,clear sky
Shāmli,17.6,20,clear sky
Nūrmahal,16.41,27,clear sky
Navadwīp,20.62,80,overcast clouds
Kokrajhar,21.17,79,overcast clouds
Jākhal,16.75,23,clear sky
Dod Ballāpur,23.01,64,clear sky
Dholka,25.2,23,clear sky
Chiria,19.88,86,overcast clouds
Chiliā,21.22,17,clear sky
Bhadreswar,21.94,67,broken clouds
Borkhera,23.48,20,broken clouds
Tulihal,16.13,78,overcast clouds
Tufānganj,21.16,76,overcast clouds
Shāhpura,20.59,17,clear sky
Roha,23.43,65,clear sky
Punganūru,20.99,88,clear sky
Perumpāvūr,25.95,89,mist
Nagda,24.43,22,clear sky
Nagari,23.78,90,clear sky
Nagar,4.16,49,broken clouds
Nāgamangala,24.17,60,clear sky
Mamit,19.36,56,overcast clouds
Seven Pagodas,27.17,79,clear sky
Lohāru,22.12,17,clear sky
Khetia,26.49,25,clear sky
Kāndi,20.88,76,broken clouds
Kāliyāganj,20.8,74,overcast clouds
Jalandhar,16.6,29,clear sky
Harnai,25.37,64,clear sky
Channapatna,25.08,53,clear sky
Alwa Tirunagari,27.35,77,overcast clouds
Masila,21.98,59,scattered clouds
Pujali,22.97,62,scattered clouds
Nabagrām,23.37,60,clear sky
Valangaiman,25.6,85,scattered clouds
Uri,10.48,38,clear sky
Uppal Kalan,24.74,64,clear sky
Tanuku,23.03,85,clear sky
Shivrājpur,24.6,22,clear sky
Patāmundai,23.72,89,clear sky
Nīlēshwar,26.29,79,clear sky
Nawābganj,18.38,17,clear sky
Mundra,25.72,53,clear sky
Mirik,11.57,82,overcast clouds
Kharsāwān,20.89,80,overcast clouds
Khargone,26.21,23,clear sky
Karur,26.47,75,clear sky
Kallidaikurichi,26.23,83,scattered clouds
Jetalsar,25.29,40,clear sky
Hābra,21.94,67,overcast clouds
Bīkāpur,22.11,18,clear sky
Annur,26.1,70,clear sky
Bankra,22.01,83,haze
Vallabh Vidyanagar,25.37,22,clear sky
Vadnagar,24.98,21,clear sky
Rāmānuj Ganj,19.95,84,few clouds
Pānchgani,20.34,31,clear sky
Nāsriganj,21.16,78,clear sky
Kumta,26.64,69,clear sky
Kalamb,22.17,37,clear sky
Gāndhī Nagar,28.47,81,few clouds
Dhanera,24.22,24,clear sky
Anūpgarh,22.7,19,clear sky
Sikandra,22.66,15,overcast clouds
Shiggaon,24.7,49,clear sky
Pulgaon,26.66,23,clear sky
Pudūr,23.39,87,clear sky
Puduppatti,26.32,74,clear sky
Mungeli,22.97,53,broken clouds
Mangalam,27.99,75,clear sky
Lāthi,26.2,38,clear sky
Kaithan Khera,21.74,17,clear sky
Golhaura,21.31,17,clear sky
Gangāpur,22.06,20,clear sky
Baihar,21.49,55,clear sky
Ankleshwar,25.38,54,clear sky
Afzalpur,31.42,20,scattered clouds
Wallajahbad,24.81,86,clear sky
Surgāna,21.15,30,clear sky
Shōranūr,25.53,90,clear sky
Sangāreddi,25.71,53,clear sky
