city,Temperature (°C),Humidity (%),Weather Condition
Rohru,6.92,66,clear sky
Rāikot,16.93,25,clear sky
Phagwāra,16.56,27,clear sky
Muzaffarpur,19.3,83,clear sky
Mūvattupula,25.86,96,scattered clouds
Murshidābād,21.03,73,overcast clouds
Māyakonda,25.36,58,scattered clouds
Mānāvadar,24.6,50,clear sky
Kulu,3.78,47,broken clouds
Kātpādi,24.02,87,clear sky
Kāndra,21.45,77,overcast clouds
Jogbani,20.55,85,overcast clouds
Jaswantnagar,22.04,15,scattered clouds
Devanhalli,23.13,73,few clouds
Dankaur,21.91,17,clear sky
Bisauli,19.88,15,clear sky
Atraulī,20.86,16,overcast clouds
Ashta,23.32,23,clear sky
Tughlakābād,19.84,60,haze
Tādepalle,24.16,83,clear sky
Sivakasi,27.49,73,scattered clouds
Petlād,25.14,22,clear sky
Pallāvaram,28.48,83,few clouds
Mudhol,26.28,31,clear sky
Kuttālam,24.49,85,scattered clouds
Jaisinghnagar,22.03,59,few clouds
Hailākāndi,21.51,69,overcast clouds
Gīrīdīh,19.91,90,light rain
Gangaikondān,27.42,75,overcast clouds
Faizpur,26.66,20,clear sky
Devaprayāg,13.61,40,clear sky
Daudnagar,21.44,76,clear sky
Chandwāji,20.74,17,clear sky
Bhuban,22.53,89,scattered clouds
Begusarai,20.48,78,overcast clouds
Badvel,25.0,83,clear sky
Amroha,18.45,18,clear sky
Aistala,20.98,77,overcast clouds
Konkan Division,26.02,73,haze
Sāndi,21.55,14,clear sky
Panaji,28.0,51,clear sky
Nannilam,26.18,82,broken clouds
Nambiyūr,26.79,69,clear sky
Nagla Dhīmar,22.96,15,broken clouds
Nāgireddipalli,24.07,79,clear sky
Maur,17.08,24,clear sky
Maināguri,19.0,81,overcast clouds
Khusropur,20.13,82,clear sky
Jīnd,18.2,19,clear sky
Gannavaram,23.66,85,clear sky
Dahmi Kalān,23.06,19,clear sky
Babrāla,20.42,17,broken clouds
Akbarpur,20.62,18,clear sky
Ahmadgarh,20.35,18,broken clouds
Aluva,25.97,89,mist
Yāval,26.64,20,clear sky
Tūndla,22.92,14,broken clouds
Sorada,22.75,69,few clouds
